Date,price
2023-02-15 11:35:41.680992,41654.25
2023-02-15 11:35:51.811762,41645.7
2023-02-15 11:36:01.962188,41649.1
2023-02-15 11:36:12.080673,41646.6
2023-02-15 11:36:22.205566,41647.15
2023-02-15 11:36:32.324560,41643.25
2023-02-15 11:36:42.465866,41652.95
2023-02-15 11:36:52.628605,41651.9
2023-02-15 11:37:02.764930,41653.3
2023-02-15 11:37:12.902536,41654.55
2023-02-15 11:37:23.032715,41661.15
2023-02-15 11:37:33.163271,41656.8
2023-02-15 11:37:43.297466,41659.85
2023-02-15 11:37:53.441123,41660.1
2023-02-15 11:38:03.565956,41657.05
2023-02-15 11:38:13.696943,41653.75
2023-02-15 11:38:23.825357,41650.85
2023-02-15 11:38:33.931805,41651.35
2023-02-15 11:38:44.055437,41646.65
2023-02-15 11:38:54.201988,41645.35
2023-02-15 11:39:04.318704,41643.45
2023-02-15 11:39:14.491574,41647.65
2023-02-15 11:39:24.644486,41647.65
2023-02-15 11:39:34.783874,41646.2
2023-02-15 11:39:44.933109,41646.85
2023-02-15 11:39:55.069224,41644.2
2023-02-15 11:40:05.190144,41641.95
2023-02-15 11:40:15.324508,41634.0
2023-02-15 11:40:25.467812,41631.8
2023-02-15 11:40:35.610919,41631.25
2023-02-15 11:40:45.728282,41626.75
2023-02-15 11:40:55.852047,41626.9
2023-02-15 11:41:05.987167,41627.3
2023-02-15 11:41:16.118657,41630.85
2023-02-15 11:41:26.245631,41631.8
2023-02-15 11:41:36.371871,41630.2
2023-02-15 11:41:46.494221,41633.55
2023-02-15 11:41:56.612744,41633.55
2023-02-15 11:42:06.724327,41636.35
2023-02-15 11:42:16.837189,41634.4
2023-02-15 11:42:26.972996,41634.85
2023-02-15 11:42:37.097259,41636.6
2023-02-15 11:42:47.204420,41635.2
2023-02-15 11:42:57.326655,41634.1
2023-02-15 11:43:07.440986,41632.45
2023-02-15 11:43:17.559175,41632.3
2023-02-15 11:43:27.690296,41631.6
2023-02-15 11:43:37.829473,41632.65
2023-02-15 11:43:47.967792,41633.05
2023-02-15 11:43:58.095613,41633.15
2023-02-15 11:44:08.262709,41632.8
2023-02-15 11:44:18.363445,41635.75
2023-02-15 11:44:28.504265,41635.3
2023-02-15 11:44:38.627252,41640.15
2023-02-15 11:44:48.769998,41639.45
2023-02-15 11:44:58.885277,41643.65
2023-02-15 11:45:09.008272,41642.7
2023-02-15 11:45:19.117368,41642.4
2023-02-15 11:45:29.259496,41642.1
2023-02-15 11:45:39.403121,41646.8
2023-02-15 11:45:49.502612,41645.75
2023-02-15 11:45:59.619101,41647.45
2023-02-15 11:46:09.747401,41647.95
2023-02-15 11:46:19.877548,41648.35
2023-02-15 11:46:30.002309,41652.65
2023-02-15 11:46:40.117869,41655.35
2023-02-15 11:46:50.290925,41653.2
2023-02-15 11:47:00.450088,41652.1
2023-02-15 11:47:10.587507,41650.85
2023-02-15 11:47:20.716316,41649.65
2023-02-15 11:47:30.836258,41645.6
2023-02-15 11:47:40.956283,41648.6
2023-02-15 11:47:51.092179,41652.75
2023-02-15 11:48:01.227498,41652.5
2023-02-15 11:48:11.335532,41656.4
2023-02-15 11:48:21.460193,41653.35
2023-02-15 11:48:31.591099,41652.6
2023-02-15 11:48:41.737490,41653.3
2023-02-15 11:48:51.880171,41653.9
2023-02-15 11:49:02.017820,41653.55
2023-02-15 11:49:12.121902,41653.6
2023-02-15 11:49:22.235145,41656.1
2023-02-15 11:49:32.348403,41653.95
2023-02-15 11:49:42.483108,41651.15
2023-02-15 11:49:52.611292,41649.8
2023-02-15 11:50:02.803931,41645.55
2023-02-15 11:50:12.946357,41646.15
2023-02-15 11:50:23.096617,41646.4
2023-02-15 11:50:33.220406,41645.75
2023-02-15 11:50:43.337814,41644.9
2023-02-15 11:50:53.462344,41642.2
2023-02-15 11:51:03.590583,41643.45
2023-02-15 11:51:13.737292,41642.25
2023-02-15 11:51:23.861336,41637.15
2023-02-15 11:51:33.983563,41639.8
2023-02-15 11:51:44.122701,41638.35
2023-02-15 11:51:54.245306,41640.1
2023-02-15 11:52:04.378454,41639.05
2023-02-15 11:52:14.489230,41636.35
2023-02-15 11:52:24.615671,41637.85
2023-02-15 11:52:34.733447,41638.55
2023-02-15 11:52:44.845387,41639.0
2023-02-15 11:52:54.947116,41638.95
2023-02-15 11:53:05.086341,41639.1
2023-02-15 11:53:15.191929,41641.15
2023-02-15 11:53:25.320619,41640.2
2023-02-15 11:53:35.458178,41633.85
2023-02-15 11:53:45.574952,41634.75
